dag_id,task,external_dag_id,etlfwk_ds
dag_qlty_unified_job_onsite_p1,start_qlty_unified_jobs_execution,,
dag_qlty_unified_job_onsite_p1,check_status_of_excel_landing,,
dag_qlty_unified_job_onsite_p1,check_status_of_eqp_aqq_twse_landing,dag_eqp_landing_landing_merge,
dag_qlty_unified_job_onsite_p1,check_status_of_eqp_aqq_twse_landing_merge,dag_eqp_landing_landing_merge,
dag_qlty_unified_job_onsite_p1,check_status_of_scom_onsite_master_data_priority1_jobs,dag_scom_unified_job_onsite_master_data,
dag_qlty_unified_job_onsite_p1,submit_qlty_priority2_jobs,,qlty_unified_job_onsite_p1
dag_qlty_unified_job_onsite_p1,monitor_qlty_priority2_jobs,,qlty_unified_job_onsite_p1
dag_qlty_unified_job_onsite_p1,notify_qlty_priority2_jobs,,qlty_unified_job_onsite_p1
dag_qlty_unified_job_onsite_p1,dependency_check_qlty_priority2_jobs,,qlty_unified_job_onsite_p1
dag_qlty_unified_job_onsite_p1,stop_qlty_unified_jobs_execution,,
dag_qlty_unified_job_onsite_p2,start_qlty_unified_jobs_execution,,
dag_qlty_unified_job_onsite_p2,check_status_of_sz_landing_landing_merge_job_onsite_p1_hist,dag_sap_sz_shapebi_landing_landing_merge_job_onsite_p1_hist,
dag_qlty_unified_job_onsite_p2,check_status_of_sz_landing_landing_merge_job_onsite_p1_inc,dag_sap_sz_shapebi_landing_landing_merge_job_onsite_p1_inc,
dag_qlty_unified_job_onsite_p2,check_status_of_sz_landing_landing_merge_job_onsite_p2_hist,dag_sap_sz_shapebi_landing_landing_merge_job_onsite_p2_hist,
dag_qlty_unified_job_onsite_p2,check_status_of_sz_landing_landing_merge_job_onsite_p2_inc,dag_sap_sz_shapebi_landing_landing_merge_job_onsite_p2_inc,
dag_qlty_unified_job_onsite_p2,check_status_of_sz_landing_landing_merge_job_onsite_p3_inc,dag_sap_sz_shapebi_landing_landing_merge_job_onsite_p3_inc,
dag_qlty_unified_job_onsite_p2,check_status_of_sz_landing_landing_merge_job_onsite_p4_inc,dag_sap_sz_shapebi_landing_landing_merge_job_onsite_p4_inc,
dag_qlty_unified_job_onsite_p2,check_status_of_im_landing_landing_merge_job_onsite_p1_hist,dag_sap_im_edws_landing_landing_merge_job_onsite_p1_hist,
dag_qlty_unified_job_onsite_p2,check_status_of_im_landing_landing_merge_job_onsite_p1_inc,dag_sap_im_edws_landing_landing_merge_job_onsite_p1_inc,
dag_qlty_unified_job_onsite_p2,check_status_of_im_landing_landing_merge_job_onsite_p2_hist,dag_sap_im_edws_landing_landing_merge_job_onsite_p2_hist,
dag_qlty_unified_job_onsite_p2,submit_qlty_priority3_jobs,,qlty_unified_job_onsite_p2
dag_qlty_unified_job_onsite_p2,monitor_qlty_priority3_jobs,,qlty_unified_job_onsite_p2
dag_qlty_unified_job_onsite_p2,notify_qlty_priority3_jobs,,qlty_unified_job_onsite_p2
dag_qlty_unified_job_onsite_p2,dependency_check_qlty_priority3_jobs,,qlty_unified_job_onsite_p2
dag_qlty_unified_job_onsite_p2,stop_qlty_unified_jobs_execution,,qlty_unified_job_onsite_p2
dag_qlty_unified_priority2,start,,
dag_qlty_unified_priority2,dependency_check,,eqp_aqa_landing_merge
dag_qlty_unified_priority2,check_status_of_eqp_aqq_twse_landing_landing_merge,dag_eqp_landing_landing_merge,
dag_qlty_unified_priority2,dependency_check_eqp_aqq_twse_landing_merge,,eqp_aqq_twse_landing_merge
dag_qlty_unified_priority2,job_kick_off_wrapper,,qlty_unified_priority2
dag_qlty_unified_priority2,job_monitoring_wrapper,,qlty_unified_priority2
dag_qlty_unified_priority2,job_notify_wrapper,,qlty_unified_priority2
dag_qlty_unified_priority3,start_qlty_unified_priority3_jobs_execution,,
dag_qlty_unified_priority3,check_status_of_eqp_aqq_twse_landing_landing_merge,dag_eqp_landing_landing_merge,
dag_qlty_unified_priority3,dependency_check_eqp_aqq_twse_landing_merge,,eqp_aqq_twse_landing_merge_job
dag_qlty_unified_priority3,check_status_of_eqp_aqa_landing_landing_merge,dag_eqp_aqa_landing_and_landing_merge,
dag_qlty_unified_priority3,dependency_check_eqp_aqa_landing_merge,,eqp_aqa_landing_merge
dag_qlty_unified_priority3,check_status_of_eqp_aqq_twse_priority2_landing,dag_eqp_aqq_twse_landing_priority2,
dag_qlty_unified_priority3,dependency_check_eqp_aqq_twse_priority2_landing,,eqp_aqq_twse_landing_priority2
dag_qlty_unified_priority3,check_status_of_eqp_aqa_priority2_landing,dag_eqp_aqa_landing_priority2,
dag_qlty_unified_priority3,dependency_check_eqp_aqa_priority2_landing,,eqp_aqa_landing_priority2
dag_qlty_unified_priority3,check_status_of_eqp_dwh_landing,dag_eqp_dwh_landing,
dag_qlty_unified_priority3,dependency_check_eqp_dwh_landing,,eqp_dwh_landing
dag_qlty_unified_priority3,check_status_of_eqp_aqa_aqq_twse_landing,dag_eqp_aqa_aqq_twse_landing,
dag_qlty_unified_priority3,dependency_check_eqp_aqa_aqq_twse_landing,,eqp_aqa_aqq_twse_landing
dag_qlty_unified_priority3,check_status_of_manf_unified,dag_manf_unified,
dag_qlty_unified_priority3,dependency_check_manf_unified,,manf_unified_job
dag_qlty_unified_priority3,submit_qlty_unified_priority3_jobs,,qlty_unified_priority3
dag_qlty_unified_priority3,monitor_qlty_unified_priority3_jobs,,qlty_unified_priority3
dag_qlty_unified_priority3,notify_qlty_unified_priority3_jobs,,qlty_unified_priority3
dag_qlty_unified_priority3,dependency_check_qlty_unified_priority3_jobs,,qlty_unified_priority3
dag_qlty_unified_priority3,stop_qlty_unified_priority3_jobs_execution,,
dag_eqp_aqq_twse_landing_priority2,start_eqp_aqq_twse_landing_priority2_jobs_execution,,
dag_eqp_aqq_twse_landing_priority2,submit_eqp_aqq_twse_landing_priority2_jobs,,eqp_aqq_twse_landing_priority2
dag_eqp_aqq_twse_landing_priority2,monitor_eqp_aqq_twse_landing_priority2_jobs_status,,eqp_aqq_twse_landing_priority2
dag_eqp_aqq_twse_landing_priority2,notify_eqp_aqq_twse_landing_priority2_jobs_status,,eqp_aqq_twse_landing_priority2
dag_eqp_aqq_twse_landing_priority2,dependency_check_eqp_aqq_twse_landing_priority2_jobs,,eqp_aqq_twse_landing_priority2
dag_eqp_aqq_twse_landing_priority2,stop_eqp_aqq_twse_landing_priority2_jobs_execution,,
dag_eqp_landing_landing_merge,start_eqp_landing_landing_merge_jobs_execution,,
dag_eqp_landing_landing_merge,submit_eqp_landing_jobs,,eqp_aqq_twse_landing_job
dag_eqp_landing_landing_merge,monitor_eqp_landing_jobs_status,,eqp_aqq_twse_landing_job
dag_eqp_landing_landing_merge,notify_eqp_landing_jobs_status,,eqp_aqq_twse_landing_job
dag_eqp_landing_landing_merge,dependency_check_eqp_landing_jobs,,eqp_aqq_twse_landing_job
dag_eqp_landing_landing_merge,submit_eqp_landing_merge_jobs,,eqp_aqq_twse_landing_merge_job
dag_eqp_landing_landing_merge,monitor_eqp_landing_merge_jobs_status,,eqp_aqq_twse_landing_merge_job
dag_eqp_landing_landing_merge,notify_eqp_landing_merge_jobs_status,,eqp_aqq_twse_landing_merge_job
dag_eqp_landing_landing_merge,dependency_check_eqp_landing_merge_jobs,,eqp_aqq_twse_landing_merge_job
dag_eqp_landing_landing_merge,stop_eqp_landing_landing_merge_jobs_execution,,
dag_scom_unified_job_onsite_master_data,start_scom_unified_jobs_onsite_master_data_execution,,
dag_scom_unified_job_onsite_master_data,check_status_of_excel_landing_priority2,dag_excel_sources_landing,
dag_scom_unified_job_onsite_master_data,check_status_of_sz_landing_landing_merge_job_onsite_p1_hist,dag_sap_sz_shapebi_landing_landing_merge_job_onsite_p1_hist,
dag_scom_unified_job_onsite_master_data,check_status_of_sz_landing_landing_merge_job_onsite_p4_inc,dag_sap_sz_shapebi_landing_landing_merge_job_onsite_p4_inc,
dag_scom_unified_job_onsite_master_data,check_status_of_im_landing_landing_merge_job_onsite_p1_hist,dag_sap_im_edws_landing_landing_merge_job_onsite_p1_hist,
dag_scom_unified_job_onsite_master_data,check_status_of_im_landing_landing_merge_job_onsite_p1_inc,dag_sap_im_edws_landing_landing_merge_job_onsite_p1_inc,
dag_scom_unified_job_onsite_master_data,check_status_of_im_landing_landing_merge_job_onsite_p2_hist,dag_sap_im_edws_landing_landing_merge_job_onsite_p2_hist,
dag_scom_unified_job_onsite_master_data,stop_scom_unified_jobs_onsite_master_data_execution,,
dag_scom_unified_job_onsite_master_data,submit_scom_priority1_jobs_priority2,,scom_unified_job_onsite_master_data
dag_scom_unified_job_onsite_master_data,monitor_scom_priority1_jobs_priority2,,scom_unified_job_onsite_master_data
dag_scom_unified_job_onsite_master_data,notify_scom_priority1_jobs_priority2,,scom_unified_job_onsite_master_data
dag_scom_unified_job_onsite_master_data,submit_scom_priority2_jobs_priority2,,scom_unified_job_onsite_master_data
dag_scom_unified_job_onsite_master_data,monitor_scom_priority2_jobs_priority2,,scom_unified_job_onsite_master_data
dag_scom_unified_job_onsite_master_data,notify_scom_priority2_jobs_priority2,,scom_unified_job_onsite_master_data
dag_scom_unified_job_onsite_master_data,submit_scom_priority3_jobs_priority2,,scom_unified_job_onsite_master_data
dag_scom_unified_job_onsite_master_data,monitor_scom_priority3_jobs_priority2,,scom_unified_job_onsite_master_data
dag_scom_unified_job_onsite_master_data,notify_scom_priority3_jobs_priority2,,scom_unified_job_onsite_master_data
dag_scom_unified_job_onsite_master_data,dependency_check_scom_onsite_master_priority1_jobs_priority2,,scom_unified_job_onsite_master_data
dag_scom_unified_job_onsite_master_data,dependency_check_scom_onsite_master_priority2_jobs_priority2,,scom_unified_job_onsite_master_data
dag_scom_unified_job_onsite_master_data,dependency_check_scom_onsite_master_priority3_jobs_priority2,,scom_unified_job_onsite_master_data
dag_eqp_landing_landing_merge,start,,
dag_scom_unified_job_onsite_master_data,start,,
dag_sap_sz_shapebi_landing_landing_merge_job_onsite_p1_hist,start,,
dag_sap_sz_shapebi_landing_landing_merge_job_onsite_p1_inc,start,,
dag_sap_sz_shapebi_landing_landing_merge_job_onsite_p2_hist,start,,
dag_sap_sz_shapebi_landing_landing_merge_job_onsite_p2_inc,start,,
dag_sap_sz_shapebi_landing_landing_merge_job_onsite_p3_inc,start,,
dag_sap_sz_shapebi_landing_landing_merge_job_onsite_p4_inc,start,,
dag_sap_im_edws_landing_landing_merge_job_onsite_p1_hist,start,,
dag_sap_im_edws_landing_landing_merge_job_onsite_p1_inc,start,,
dag_sap_im_edws_landing_landing_merge_job_onsite_p2_hist,start,,
dag_eqp_aqa_landing_and_landing_merge,start,,
dag_eqp_aqq_twse_landing_priority2,start,,
dag_eqp_aqa_landing_priority2,start,,
dag_eqp_dwh_landing,start,,
dag_eqp_aqa_aqq_twse_landing,start,,
dag_manf_unified,start,,
dag_excel_sources_landing,start,,
